,Dialogue
34993,know
34994,'d pretty stupid write killing kill way described 'd announcing 'm stupid
34995,
34996,exactly mind mr
34997,sex year half liked sex
34998,going charge smoking
34999,thank
35000,'m writer use people write write know let world beware
35001,beginning got like
35002,cocaine
35003,sometimes
35004,answer n't kill
35005,make believable call suspension disbelief
35006,teach lie
35007,yes
35008,would need
35009,read right arrest 'll go downtown
35010,n't really feel like talking anymore
35011,really maybe 's 're homicide
35012,die
35013,said n't know sort impulse happened
35014,'re looking
35015,dead
35016,want
35017,died five six year ago
35018,'re making
35019,anderson
35020,yes
35021,anderson w 'm sorry
35022,fourteen seal juvenile record 're deceased 's n't find
35023,'m roxy 'm friend
35024,would n't otherwise would
35025,vice
35026,really think talk
35027,talk
35028,n't
35029,
35030,
35031,
35032,know n't let get away
35033,mothafuckah
35034,look little silver thingies boot n't think
35035,naaaa poor thing little
35036,
35037,oh fine nigga know
35038,n't sorry 's one blame 're real artist thought one made realize n't
35039,n't believe â 're picking straw
35040,year
35041,'s
35042,pretty much
35043,ready start columbia next fall course 's like year pre med stuff â whatever 'm really excited gave job poem getting published
35044,n't think 's using
35045,really friend seems like weirdo
35046,'s
35047,hi
35048,'re
35049,mean baby
35050,look done
35051,staten island would ok
35052,n't thought
35053,well thanks
35054,n't lie smack
35055,take
35056,'re blaming go see
35057,'s monday morning
35058,oh scared shit fuck could
35059,'s saying
35060,n't fucking money
35061,'m going parent weekend going wear could
35062,best clothes
35063,friend mine offered job little work installing show gallery 's electrician supposed hour ago
35064,said never actually like
35065,yeah left 477 0496
35066,n't go many party girl
35067,definitely
35068,camping could use scrub
35069,think could alone
35070,guess got sick
35071,n't tell â got fired crazy
35072,thanks
35073,
35074,'ve seen like painting lot hair different
35075,hi
35076,thanks inviting 'm business
35077,forget
35078,fucking little sold painting 'm gon na tell something â 're climbing ladder success n't kick rung believe shit
35079,thanks 'll take tonight
35080,511
35081,shut keep painting
35082,'re news want scoop write speak one belief write people know 's true 's never black painter history 's considered really important know
35083,keep painting
35084,point exactly
35085,singing stage painting spare time
35086,fuck practice 're gon na painter 're gon na break heart â n't wan na like
35087,uh huhh practice 's want know 're practice
35088,put ring even date big know fight could make look real looking painting upstairs 's first time picture made embarrassed anything 's real name 'samo '
35089,heard made niggah 'm ricard n't read know hype 'm gon na make
35090,need
35091,n't think 're fair
35092,pipe lech let order
35093,good joke wan na hear another one
35094,saying 'm ca n't taken granted listening
35095,could 'm
35096,'s fire
35097,
35098,kiss mistletoe mistletoe deadly eat
35099,n't know anymore
35100,n't give killing wo n't solve anything speech n't tired sanctimonious robber always coming top six foot
35101,first
35102,guess 'm sick wearing mask
35103,'s big comfy california bedding say
35104,'s'okay go home feed cat
35105,second
35106,'s called guy always let sickos never scare least 're commited
35107,well right difficulty duality
35108,sure
35109,skater
35110,truth frightened
35111,went wrong hang think know kept thing
35112,girlfriend
35113,'m sure 's wonderful company n't plated bachelor get little stale
35114,yes
35115,
35116,yeah
35117,darker
35118,detest violence complacency downer
35119,'s gon na hot time cold town tonight
35120,'re coming relighting tree thing
35121,heard tv thought weigh 140 pound hack usleepu night
35122,news day weird people looking superheroes peace mind blaming problem villain instead spouse least
35123,treat
35124,scare actually scaring
35125,oh
35126,pouring work
35127,'m listed
35128,well 's story
35129,n't seem like type business mr shreck
35130,yes
35131,mean mistook umeu
35132,
35133,killed killed killed three life got enough bullet finish
35134,uisu moron
35135,sorry die die
35136,half pint 'm talking gallon
35137,blood
35138,domesticated doubt repulsive awful upenguinu
35139,'cause trained men corn
35140,would n't touch
35141,want thought busting make feel dirty maybe 'll give bath right
35142,napalmed arm knocked building starting feel good want play integral part degradation
35143,'re ozzie decidedly unotu
35144,'re quick cobblepot
35145,'d power martyr destroy must first turn hate meaning u
35146,one pet cause today ban bat
35147,thorn side fly ointment
35148,oswald talk see 've got something common
35149,actually split take personal day n't mind 're top
35150,morning bummer store insured
35151,'s name maximillions n't wear 'll make buy new one
35152,okay go ahead intimidate make feel big mean 's like kill
35153,'s secret honest mean someone meaningless
35154,good
35155,'m cat 'm usecretaryu
35156,big ucapacitoru instead generating power 'll sort usuckingu power gotham city storing stockpiling sort unless 'm dense novel approach 'd say
35157,well figured password finster pomeranian 's interesting though technical side mean power plant power plant name since fact 's gon na one big
35158,yes 'm boning meeting morning pulled file proposed power plant mr 's hoped investment 've studied even opened protected file
35159,need help
35160,
35161,
35162,came give freedom live life choose gift gave
35163,'m sorry late
35164,'s good see 've missed
35165,guess n't fax machine elephant
35166,'m sorry came tuck
35167,oh thing frighten
35168,left much 's dismay
35169,
35170,hey 'm one kicked 's botanical butt personally
35171,new science division know
35172,'m break
35173,happy honestly n't know ca n't even see 's front eye
35174,paying someone prepare meal laundry dish call
35175,servant master 's ridiculous sweetest noble alive 's subjugated life dream someone else
35176,supported whole life 'm going pay back 'm going liberate dismal life servitude
35177,street racing n't exactly acceptable oxbridge kicked n't matter 've enough money 've always dreamed
35178,started racing parent died something speed danger took made hurt go away would n't understand
35179,guess truth 'm comfortable idle rich even try act like hero
35180,course fabulously wealthy would need hundred dollar
35181,replace bike lost 'll get rest
35182,could made know n't need help
35183,parent killed auto accident ten year ago supporting ever since
35184,'m sorry trouble
35185,targeting mirror frozen sun beam wo n't work
35186,'ll take satellite minute align butdamn
35187,n't know feel right
35188,pow kazow
35189,'m afraid ask
35190,
35191,easy
35192,baatgirl baatgirl
35193,alpha got hell attack plan alpha
35194,maybe witless playboy persona work every bimbo du jour least titillated attention back 'll court quicker spell sexual harassment got
35195,physical perfection charm wealth tossed dowdy spinster explain behavior
35196,tell billionaire would warm faster plea looked like m january
35197,acceptable loss battle save planet
35198,forget star look earth womb deserves loyalty protection yet spoil land poison ocean blacken sky 're killing
35199,proposal showing enterprise immediately cease action toxify environment
35200,see knew
35201,actually already work arboreal preservation project south
35202,dr isley
35203,right get 're marrying kind 've made point goodbye
35204,make choice
35205,
35206,called 's
35207,'s
35208,'m betting 'll make someone good husband one day ca n't wait around forever n't answer think 's food thought
35209,'s nothing 've done cover darkness could n't learn understand
35210,know 're dedicated bachelor 've wild night
35211,'ve going year andokay go want spend life
35212,'re even listening
35213,
35214,soon
35215,
35216,good
35217,'m hungry think 'll poultry
35218,way 's heart ego strapping young hero could resist ownsignal
35219,team duncely duo protect young impetuous could get alone
35220,ca n't along rest citizenry
35221,created race plant strength deadliest animal frozen mankind mutant overrun globe earth become brave new world plant shall rule two people left world
35222,mind everything dead earth except u nature start plant flower oldest specie planet yet defenseless sorry hon science behold new age
35223,kill course stop die society created go unpunished
35224,nothing could deactivated 's dead
35225,make right home
35226,ok ok m rescue find brittle
35227,hold never said anything frozen otherwise
35228,trust vegetable magnetism
35229,leave
35230,looking unseasonably hot let 's go inside grab rock
35231,wonder get cell view garden
35232,love belt fifty big tall
35233,let 's cool 's someone want meet
35234,well unabominable snowman impressed fact propose pairing 'm set free
35235,listen cold maybe even though silver went 70 's boot unforgivable men
35236,forget frosty femme lip wet ready get frostbite
35237,say turn heat
35238,okay hair brittle skin dry n't care 'd weather blizzard 're perfect 've ever known
35239,freezy 'm feelinghot
35240,'re late say bye bye
35241,love loathe bipedal arrogance superiority joy knowing even poison kiss sucking life ape like face
35242,heeded pointy eared pal lip murder
35243,bad luck 'm afraid 's time die little bird
35244,one kiss love luck
35245,turned new telescope freezing gun 's turn gotham cube
35246,kiss 'll tell
35247,dangerous curve
35248,'m glad came ca n't breathe without
35249,want kiss
35250,hello think 've change heart
35251,join 've spent life trying protect plant extinction corrupt research maniacal scheme world domination get wo n't able get job teaching high school chemistry hear psycho
35252,work
35253,tell 're venom
35254,exactly working scream
35255,two face call
35256,maybe n't met right
35257,like strong woman 've done homework need skin tight vinyl whip
35258,could give try 'll bring wine bring scarred psyche
35259,life 's open read
35260,n't mind work pity ca n't see behind mask
35261,black rubber
35262,wrong kind grade school guy earring college motorcycle jacket
35263,live psychosis alone
35264,wish could say interest purely professional
35265,last night circus noticed something coin 's obsessed justice 's achilles ' heel exploited
35266,'s home sent signal
35267,n't know see interesting call way first name call bat
35268,let 's say could write hell paper grown dress like flying rodent
35269,'m flattered every make hero 's night table might interesting insight two face
35270,two million dollar waiting transferred second bank gotham 22nd could harvey two face resist
35271,talking
35272,
35273,oh n't responsible
35274,know try
35275,say hurt much say
35276,stop fighting
35277,memory repressed 're trying break relax try remember
35278,okay tiger take slow going give pin something
35279,excuse 'd hate stop testosterone flood account
35280,oh 're still jealous
35281,touchy touchy
35282,n't know better 'd say sulking
35283,sense two people side show daylight side keep
35284,want close wo n't let near 's terrible dark secret 're protecting everyone
35285,throw ridiculous superficial mask 're jealous
35286,
35287,want say 'm attracted
35288,come living
35289,find anything interesting
35290,
35291,sorry n't even time unpack instant coffee okay
35292,
35293,could say kind dropped bang think felt
35294,well met someone
35295,much surprise seem like really great
35296,glib cavalier routine really act n't
35297,n't get
35298,like folk
35299,'m surprised n't blind
35300,excuse
35301,would 'm sure
35302,'s usually line
35303,understand obsession better let
35304,letter writer obsessed escape
35305,know obsession
35306,think question would thing bat
35307,exactly
35308,patient apparently suffers acute obsessional syndrome potential homicidal work better
35309,opinion letter writer total wacko
35310,'s malaysian dream stand sleep calm dream need one
35311,infamous charm ever shut
35312,psychiatrist make nervous
35313,help mr
35314,'re right n't mean impolite please
35315,
35316,dr burton tell know
35317,'s dr meridian remember
35318,
35319,
35320,could 've killed know could 've killed
35321,n't mind asking 's close
35322,ca n't absorb place equipment must cost secrecy wear mask
35323,ca n't right would mean every shipment every product poisoned 'd dead
35324,
35325,loathe bat
35326,'d find place
35327,n't protect though
35328,stuff kevlar
35329,well 've certainly enjoyed 's
35330,
35331,taking
35332,know wo n't keep
35333,look appreciate job 'm keeping picture
35334,wo n't let
35335,wanted distract n't trying get picture
35336,well think might consider
35337,hundred eight
35338,ca n't
35339,
35340,n't
35341,look
35342,car
35343,n't 's love n't want
35344,n't know 'm half wish 'd stay cripple
35345,'m frightened 'm frightened
35346,
35347,'s already line
35348,'m sorry hung
35349,calling
35350,worked van gogh let 's kiss make
35351,oh n't tell carry around
35352,'s like last time sent present
35353,rate 're going ca n't even save
35354,'re one ca n't save everybody
35355,n't understand much good people
35356,pretend none ever happened never met 're going get killed know n't
35357,'m serious
35358,know 's 'm going talk unless discus
35359,wish 'd
35360,well n't think would possible
35361,yes 'm
35362,street mime executed
35363,mm hmm lunch even dinner
35364,tell truth 'd given waiting
35365,'s one thing world n't well know 'll kill
35366,could try
35367,would come want get two drink experiment
35368,'s fair 'm half drunk 're even
35369,'m sorry ca n't seem get handle conversation
35370,much 's n't want depressing 's
35371,really say thing n't mean criticize
35372,well type little obvious others
35373,terror
35374,well couple year ago requesting aid went newsweek beach nice night danced hotel patio course never saw really happening war broke go back promised time would n't look away
35375,neither odd desire guess
35376,'s tough one ever seen combat
35377,sail
35378,far know
35379,'ll see burn 'll see dead get away
35380,scum sick filth
35381,mask
35382,'ve seen worse much worse
35383,maybe start portrait artist people might like see face behind makeup
35384,want
35385,thank
35386,yes allie 've got ta say ballsiest move ever
35387,okay
35388,look 's ally balloon 've got find way tell
35389,yeah deja vu
35390,'s gone
35391,allie want tell roll film face knew let keep
35392,'s crazy
35393,allie 's
35394,'ve 'm leaving
35395,know
35396,'s best friend harvey would know
35397,allie know exactly 're
35398,paying
35399,drug
35400,oh
35401,face allie look face
35402,plain roasted 'm flattered 've gone done research
35403,peanut
35404,guess 's got date
35405,yum yum
35406,oh sorry thinking
35407,sweet smell two hundred million buck
35408,rich reclusive bankroll half dozen charity
35409,aver world say 's spent half life overseas
35410,rich bitch remember 'm quoting
35411,
35412,next hear throwing fundraiser get invitation yet
35413,evildoer huh big small
35414,could get killed tell 's new hot gotham city
35415,burned need vacation
35416,'d know
35417,'s bad live
35418,'m fine
35419,maybe ought think getting another job
35420,nothing 're make laugh last time laughed u
35421,
35422,let 's get coffee
35423,nothing ever really change
35424,0
35425,least n't bring mr
35426,honestly 're spineless
35427,meaning
35428,great said 'd ask putting guest somewhere else
35429,hi rose
35430,mean wake strange bed 'm supposed think 's amusing tie 's awful wear
35431,'m serious
35432,shut making sense
35433,face smell like foot
35434,liar
35435,three strawberry
35436,go ahead
35437,need time little time 's 's partly
35438,n't working
35439,'s wrong say excuse 've sitting since start millennium 'd really like action end world 'll go
35440,really ask
35441,scottish
35442,'s last thing need
35443,ever going learn say 'no '
35444,know anything
35445,say
35446,n't hotel
35447,yeeees
35448,stay look
35449,n't ask work life 's short
35450,'s call 's
35451,big day today huh 78
35452,night
35453,excuse mr called 's ready see upstairs
35454,understand neither
35455,n't like say much
35456,oh right yeah two dollar please
35457,two dollar please
35458,bye
35459,'s need talk
35460,'s woke next
35461,welsh
35462,welsh
35463,guy claim english good looking like day liam neeson turn irish even hopkins welsh ugly pay two million buck year stay indoors
35464,oh come 's going englishman ugly
35465,come sting
35466,course
35467,'s kind interesting swap ga ga
35468,
35469,know thing hate child
35470,shut
35471,say xanax
35472,sorry hear took beating
35473,'s two 'd ya vega
35474,perk right
35475,well find getting tired take couple
35476,oh maybe 're lactose intolerant
35477,'ll speak son ringing ear say could related heart palpitation 've two operation heart
35478,oh 's nice
35479,oh many slot wo n't know begin
35480,score big 'm mostly going slot
35481,hello two heading la vega
35482,yoo hoo whoo hoo
35483,meet elloise
35484,'s last name dear
35485,'s 'm bussing across 'm glad 're want meet two nice
35486,'s nice meet young men well mannered
35487,get uawayu little
35488,mean 'd consider two week n't answer want check deed restriction anyway take vacation say 'bye
35489,booyy 're really rich matter nothing matter buyer made killing condo village 's got little stress problem say want old peace quiet
35490,'ll rich
35491,maybe three eighty five carry second lien arrange creative financing six state new england
35492,oh n't tease never got science life
35493,330 guess
35494,hunch
35495,'ve given gift real live little like u lot need u maybe 's died young keep u getting attached uthingsu house antique model look u n't room anyone
35496,build another one
35497,ah n't know anything little girl 's missed love 's
35498,know 've thinking could teach sew
35499,believe know hard stuff 're going whether 're alive dead 's 's flat 's food color ca n't smell flower knew know 'd careful
35500,uadamu build whorehouse ever
35501,might hurt somebody
35502,sushi
35503,sushi wine n't sushi
35504,n't care 've changed mind feel ureallyu confident 're getting better stuff scare tonight 've got idea 're going love 'm going hate
35505,going expose little pervert
35506,n't work something try harder
35507,let 's go
35508,'s fourteen
35509,maybe knock first
35510,oh n't glove nail keep getting longer 'll break
35511,bet el geuse awful name thought like know ujuiceu ubeetlesu
35512,happened
35513,ubetelgeuseu
35514,yes must look
35515,'s something
35516,
35517,copy gravestone right
35518,photo big foot
35519,'s trying n't believe
35520,know 're really pretty
35521,well n't know n't get many visitor
35522,feel really stupid
35523,corny reduced sheet
35524,cemetery oh
35525,probably would n't mind sharing house people
35526,look everything different furniture gone
35527,'s somewhere without big worm
35528,yet another triumph afterlife
35529,draw door n't know keep looking stupid
35530,n't know looking
35531,n't know 'm going talk little
35532,'re going wait like cornered animal tell need help 'm going talk little
35533,usawu u could feel
35534,little saw u
35535,'s number instruction
35536,look index maybe 's like emergency number something
35537,n't improve sense humor
35538,'re trapped house forever people
35539,know 'm sorry
35540,oh n't ever leave alone
35541,whatever ca n't worse
35542,'m putting
35543,'re completely helpless 've reading 's word people predicament
35544,punishment something life
35545,uareu hell hate people
35546,guess 'm going dead 'll best dead person ever
35547,least wo n't worry
35548,say 'wo n't ' wait minute say 'the living arrogant think 'll never die refuse see dead '
35549,ca n't see right rule number two living usually wo n't see dead
35550,'s
35551,dish n't eaten three week 'm like really need around upeopleu get go grocery shopping
35552,heaven would n't dust wallpaper
35553,ca n't anything vacuum garage ca n't leave house n't tell u something dead people world
35554,thousand thing disappear walked front porch punishment halfway heaven halfway hell going ulastu
35555,n't like situation like hate 'm control tell basic
35556,n't think survived
35557,deuceasedu n't know came
35558,yes yes made couple small discovery 's one
35559,'s gone
35560,two hour
35561,oh 're home house nonsense 'll make coffee get firewood
35562,sitting
35563,'m sure feel frozen
35564,fire n't burning left house
35565,oh 'm sorry
35566,'re 're saving town
35567,bozman building beauty
35568,
35569,wave
35570,know wish 'd leave u alone
35571,said sell house someone
35572,oh
35573,oh 'm glad 're spending vacation home
35574,got oslo
35575,oh model look good historical society love 've finished street
35576,oh puh leeze
35577,
35578,got
35579,got took picture new
35580,really n't know
35581,wait minute licorice cream earlier guy could gas 'm dreaming neat prove 're gas
35582,true like kinda like visit sometimes
35583,n't know deetzes well bought place never walk away equity n't uyouu leave
35584,used house bet want scare everybody
35585,uyouu carved little figure house thing
35586,stepmother 'm sensitive related reptile
35587,creeping around 's bedroom
35588,'m wearing contact also read uhandbook theu urecently deceasedu say live people ignore strange unusual ui amu strange unusual
35589,like trick question
35590,unight living deadu 's gross movie
35591,'m scared usheetsu gross unight theu uliving deadu like bloody vein pu
35592,guy 're hiding attic
35593,yes want deetzes
35594,unever trust livingu ucannotu routine haunting like provide incontrovertible visual proof existence beyond
35595,udo n't say nameu practice uyourselfu
35596,start simply know use talent practice help help little time course practice practice practice 's tricky n't murderer
35597,heard tore face right bad news obviously n't good pull head front people ca n't see
35598,intermediate interface chapter haunting say get 'em 's house haunted house n't come easy
35599,hell people obviously n't read much besides thing seem pretty quiet thank n't die italy deetzes okay studying manual
35600,'s wrong
35601,'m sorry frightened
35602,n't like deetz particularly could ukilledu
35603,home uhomeu uhomeu
35604,one
35605,get people house
35606,'re
35607,forget 'll remain whore someone call need worry people like uothou lot phony trance medium usually ca n't make formula work stumble right word handbook could hurt uexorcismu
35608,
35609,people really screwed received word allowed uphotographedu let n't put back let get ahold handbook
35610,
35611,whorehouse idea want picture 've got serious talking
35612,yeah still try popping place ca n't join party unless call get deetzes got ta go
35613,cemetery
35614,'s freelance bio exorcist claim get rid living 's troublemaker 's pushy 's sleazing around cemetery 500 year
35615,mean 's
35616,n't work well others
35617,n't want help
35618,trouble flyer betelge
35619,pity murderer seem easy time look amityville one n't give one lesson day one must 've got planeload football player crashed midwest need lot help basic
35620,
35621,yes
35622,like used
35623,expect 're dead
35624,'re unhappy
35625,need help deserve help
35626,yes evaluate individual case determine help needed deserved available
35627,worker
35628,'d nearly given leave client
35629,gross wanted dissect frog told way said religion got c
35630,'d science test
35631,step
35632,uneveru let beetle juice never besides 're thinking letting everyone stay stay
35633,life awful
35634,n't
35635,want dead
35636,'re dead
35637,said let would take side find
35638,wait
35639,hate ca n't trust anybody
35640,wait n't think would good idea told parent 're
35641,n't wear stuff ubedu besides 's unothingu wrong 'm getting
35642,funeral guy ureally areu udeadu like funeral cry
35643,ca n't n't left house since funeral
35644,always tell truth course see
35645,tell truth
35646,'re practicing
35647,'re gross wearing sheet
35648,seen ghost age would frightened wit
35649,'bye 'll see couple week
35650,oh n't mean anything 's big two know thing
35651,maitland sweetie listen house big really ought couple
35652,live station wagon
35653,could double size hardware store 'll rich
35654,n't send photograph house around country 're interested selling
35655,look think offer really real rich new city saw photograph
35656,645 morning
35657,today three hundred ufiftyu thousand dollar
35658,'s right complete vacation
35659,hi barb 'm glad caught heard vacation
35660,qu 're
35661,w
35662,
35663,'ve got help
35664,'d look silly 'm fourteen year old
35665,n't n't take order smurfs
35666,snake right know saw
35667,'re anatomically correct
35668,name ubeetle juiceu yecch 's bad udeeeulia udeeeutz
35669,unotu beetle juice
35670,breakfast beetle beetle beetle fruit fruit bat fruit battle volkswagen fruit wagon
35671,beetle
35672,n't know signal mean
35673,finger small ca n't see first word two syllable
35674,three syllable
35675,yes
35676,n't know name
35677,yeah
35678,well ca n't worse life
35679,think
35680,want get
35681,spirit
35682,'d go
35683,course 're dead 're ghost
35684,mr mr maitland 've come last time barb
35685,people ruthless
35686,think 's
35687,n't tell
35688,know much supernatural know interior decoration
35689,'ll know
35690,feel like 've war
35691,age usou uyoungu need call awful tomorrow get key attic door ca n't find way hold back commission
35692,ca n't believe 're eating cantonese szechuan hunan
35693,'s uothou
35694,'re anymore
35695,ca n't ubringu ghost 're
35696,believe
35697,come leave stuff alone
35698,listen guy ghost really nice people think scared let 's leave alone okay
35699,'re ghost want
35700,uthis jokeu sheet full ghost
35701,well mean weirdest
35702,stepmother 's
35703,believe
35704,well wanted tell saw
35705,'m lonely
35706,stepmother
35707,trying open door mr brought skeleton key
35708,stepmother 's torturing mover
35709,yeah maybe 's nice 'll let hang rope barn
35710,whole life darkroom one big dark room
35711,hate
35712,'m sorry already
35713,never forgive embarrassing front social inferior help u ghost 'll sorry
35714,n't matter matter 've got roomful think 'm fraud going teach something 've ugotu take right tone thing like people whether 're dead alive people walk uoveru come make miserable wish never ulivedu
35715,shhhh n't commit suicide
35716,right dead people come 'll break door drag rope hanged
35717,ucourseu n't scared little startled one sushi dropped kamali
35718,think reason trying scare n't get scared
35719,tried convince house haunted love
35720,n't joke
35721,tried play amusing joke afternoon
35722,saw ghost
35723,n't udareu
35724,n't udareu talk others 'm uartistu thing scare embarrassed front friend know hard get civilized people set foot part connecticut solitary word pubescent tripe anyone
35725,utoldu mean afraid
35726,ca n't believe ughostsu giving dinner party seven people tonight agreed come back demolition attic bernard bringing writes uarchitectural digestu fact one tonight uvanity fairu except
35727,joke joke aspirin n't matter
35728,particular kind
35729,uyou jerksu udangerousu think want die like moving affair buckle go get mommy drug
35730,say let 's keep way
35731,'ll utheu center summer new 'll teach phony gallery creep refuse sculpture get house people going recognize
35732,first meal house n't little private part make pleasant one
35733,plan stroke amount msg 's food
35734,'s happening
35735,still
35736,look tiny figure
35737,indicate marvelously urbane sense humor part ghost actually appear usheetsu
35738,'s without therapy allow ruin
35739,unou encourage little person
35740,probably world 's largest ureader'su udigestu collection c'mon let 's chablis 'm laid bare experience entirely bare
35741,maybe
35742,attic space
35743,'s ' study n't even look 'll love whatever 's sheep
35744,canunotu uliveu cheap domestic floor tile
35745,uoh godu
35746,course favorite color ubeautifulu
35747,viridian
35748,think
35749,ui knowu read utheu uhaunted tapestry waldorfu
35750,okay
35751,'s wrong
35752,rest house probably worse get started
35753,'m usou glad could leave city consult
35754,well placed call stepped news
35755,'s okay 's dirt business
35756,hellooo 's school
35757,remind talk dress code 'm sure 're going happy
35758,yes 'm going live home
35759,going seeing miss shannon 's boarding school
35760,'s skeleton key 'll open door house give might mention single handedly decorated house need advice area come see
35761,key attic
35762,happened people used live
35763,well 's little deetz least city people something right n't
35764,uadamu uadamu
35765,wedding clothes
35766,wait minute worried ca n't even change tire
35767,'s slavery murder n't know people 're like 're nice people
35768,attic
35769,n't want come
35770,'s terrible
35771,hold breath 'll pull
35772,know strangely enough n't feel bad feel right guess 's easier knowing chauncey take care thing
35773,needle
35774,minute minute chauncey would like ask favor
35775,common foe chauncey lawyer physician
35776,course n't excuse presumptuous know everything another however honest enough admit
35777,course lawyer
35778,know exactly mean today mercy lawyer sec want regulate natural growth 's happening across country
35779,u feel much chauncey
35780,find could lost something happened ca n't leave
35781,wish
35782,think look
35783,chauncey sensitive overcome grief
35784,'s
35785,good might pleasant couple day improvement
35786,'s intense internal n't think
35787,yes different kind person one usually meet
35788,stay necessary
35789,wanted fresh air mr
35790,fine felt since close tie would splendid choice help looking something
35791,course would like appear show tonight vice scheduled cancel asked would interested
35792,morton 'this evening ' called
35793,oh mr 've looking
35794,would care take sir
35795,mr telephone call financial post
35796,oh chauncey darling thought 'd lost 've looking
35797,chauncey chauncey
35798,dearest uncoil want desire flow within watch passion dissolve set free reveal drenched purged
35799,'ve never done mean touch
35800,want watch
35801,watch watch
35802,n't excite n't know want n't know like
35803,come chauncey please come
35804,feel close safe chauncey understands dearest understands accepts feeling
35805,must punch stuffy feel little 're dear thank still men like around give aid comfort
35806,upstairs chauncey 're always involved sort discussion
35807,chauncey afraid got bored left mysterious
35808,chauncey mr state department
35809,'ve never seen anyone handle medium well chauncey 're cool detached almost born
35810,guess well honest feeling chauncey know love love want know know 'm grateful 've decided wait
35811,know chauncey conquer within infuse need desire longing love
35812,'m grateful chauncey would opened touch know 're strong trust 'm glad chauncey 'm glad showed much restraint
35813,know chauncey want u want u become close want u become close know
35814,know chauncey mind like
35815,well seems 've described one architect 's speech comment 'this evening ' show quoted side side 's
35816,chauncey seen paper
35817,good night chauncey
35818,friend chauncey 's friend quite older
35819,oh well fix one 's tomorrow night insists black tie
35820,n't happen tuxedo suitcase
35821,know television good luck chauncey
35822,'s tired chauncey 's going watch tonight 'll watching
35823,sends along best wish
35824,chauncey wanted wish well know 'll smashing
35825,chauncey
35826,'ll right chauncey go ahead mr
35827,'m 'm grateful 're chauncey u
35828,yes
35829,greenhouse
35830,course
35831,oh stupid thought perhaps someone romantically involved
35832,'m sorry mentioned gone close also
35833,forgive chauncey n't mean pry must close
35834,oh see mentor perhaps
35835,relative intimate friend
35836,chauncey last night mentioned old died
35837,yes 'm sorry n't get see
35838,good 'm glad hear like meeting
35839,leg must getting better
35840,chauncey
35841,good night chauncey
35842,n't think
35843,
35844,yes know chauncey
35845,mad 've lifted spirit 's well 's real pleasure u
35846,chauncey wanted tell dreadful feel accident today 'm delighted staying u
35847,oh know exactly mean sometimes enjoy puttering around pleasant way forget one 's trouble
35848,staying wo n't inconvenience
35849,would like u notify anyone
35850,wo n't injury prevent attending business mr
35851,admire person find much assimilate become quite muddling time
35852,see must important stay informed latest event
35853,'ll feel relieved dr examines leg run home office wherever 'd prefer anything special would like watch
35854,oh well 'm sorry
35855,lose something
35856,oh well 're wonderful couple 've friend year visit island quite often
35857,oh mr mr chauncey 're related basil
35858,pardon mr
35859,ask name
35860,oh way 'm
35861,oh certainly
35862,would care drink
35863,fine save lot unnecessary fuss much pleasant 'll go home would call let know
35864,yes husband ill nurse staying u hospital impersonal might hour treated
35865,see say would mind seeing
35866,yes leg feeling better
35867,trying situation everyone seems make simple little accident course frightening must apologize 's never accident
35868,'re comfortable
35869,certainly must see insist please let u take
35870,wo n't let u something leg examined could take hospital
35871,see one quick question mr since post would like uh update profile exactly business
35872,course since ill 'm taking liberty asking
35873,good sir seems would like fact uh exactly relationship first american financial corporation
35874,'ll brief covered 's speech financial institute today since post would like exact possible would appreciate comment meeting took place mr
35875,'m sorry disturb mr know must busy
35876,hello mr post
35877,'ve worked hard enjoyed life 've known success 've felt love associate chauncey 've talked 're eager meet eager meet 'm fond chauncey understand tell tell 'm madly love
35878,care need help chauncey 's much looked
35879,let feel strength chauncey let feel strength yes 's good chauncey 'll stay take care watch 's delicate flower chauncey
35880,'m surrender horn plenty horn
35881,chauncey chauncey
35882,good together two create quite stir already hear gossip
35883,rowley 's hosting evening tomorrow evening honoring ambassador soviet union think 's rather obvious wo n't allow attend would go place
35884,chauncey 'm afraid must excuse 'm tired sudden
35885,please chauncey n't rush decision know 're act spur moment
35886,oh sure financial assistance program think might take charge undertaking 'd like meet member board 'll able discus matter greater length time
35887,know chauncey 's something 're direct grasp thing quickly state plainly n't play game word protect feel speak frankly know talking last night
35888,quite impressed comment chauncey hears sort analysis everyone unfortunately seldom ever
35889,'s decent fellow n't
35890,think insightful friend saying mr welcome inevitable season nature yet upset season economy
35891,maybe one day shall find similar position chauncey maybe one day
35892,yes younger thought public office found chauncey able contribute private citizen course wealth provided considerable influence 've tried believe misuse power 's extremely important chauncey one position eminence allow become blinded need country temptation strong 've labeled 'kingmaker ' many tried stay open people tried remain honest
35893,one like dying know know terror 're exception chauncey 's admire marvelous balance n't stagger back forth fear 're truly peaceful
35894,hah 's make chauncey asked fix n't want think going die talk
35895,well 's good news
35896,chauncey around morning
35897,oh take look would
35898,reluctant speak eh chauncey well understand loses everything anger tendency block reason time give thought work idea 'm sure 'll plenty say day
35899,yes 'm sure 's say anyway
35900,wait minute chauncey young healthy 's sake n't give fight ca n't let bastard keep n't want hear 'room upstairs ' 's 'm going soon
35901,bravo
35902,gardener well put chauncey excellent n't gardener person make flinty soil productive labor hand water sweat brow creates place value community yes chauncey brilliant metaphor yes indeed productive laborer vineyard
35903,garden hah tomorrow chauncey see garden
35904,'m
